Date,Open^GSPC,High^GSPC,Low^GSPC,Close^GSPC,AClose^GSPC,Volume^GSPC,Open^DJI,High^DJI,Low^DJI,Close^DJI,AClose^DJI,Volume^DJI
2000-05-09,1424.17,1430.28,1401.85,1412.14,1412.14,896600000,10607.54,10684.85,10514.25,10536.75,10536.75,166320000
2000-05-10,1412.14,1412.14,1375.14,1383.05,1383.05,1006400000,10533.09,10533.09,10292.1,10367.78,10367.78,225970000
2000-05-11,1383.05,1410.26,1383.05,1407.81,1407.81,953600000,10369.27,10575.1,10369.27,10545.97,10545.97,185720000
2000-05-12,1407.81,1430.13,1407.81,1420.96,1420.96,858200000,10549.06,10673.79,10543.92,10609.37,10609.37,137770000
2000-05-15,1420.96,1452.39,1416.54,1452.36,1452.36,854600000,10606.97,10811.55,10605.26,10807.78,10807.78,155810000
2000-05-16,1452.36,1470.4,1450.76,1466.04,1466.04,955500000,10816.01,10971.24,10816.01,10934.57,10934.57,181920000
2000-05-17,1466.04,1466.04,1441.67,1447.8,1447.8,820500000,10930.64,10930.64,10752.61,10769.74,10769.74,169570000
2000-05-18,1447.8,1458.04,1436.59,1437.21,1437.21,807900000,10771.8,10864.32,10764.26,10777.28,10777.28,161220000
2000-05-19,1437.21,1437.21,1401.74,1406.95,1406.95,853700000,10764.22,10764.22,10570.65,10626.85,10626.85,188270000
2000-05-22,1406.95,1410.55,1368.73,1400.72,1400.72,869000000,10624.79,10664.54,10369.49,10542.55,10542.55,185570000
2000-05-23,1400.72,1403.77,1373.43,1373.86,1373.86,869900000,10539.12,10557.45,10416.78,10422.27,10422.27,157080000
2000-05-24,1373.86,1401.75,1361.09,1399.05,1399.05,1152300000,10420.9,10554.88,10364.01,10535.35,10535.35,225350000
2000-05-25,1399.05,1411.65,1373.93,1381.52,1381.52,984500000,10529.87,10558.65,10266.0,10323.92,10323.92,184380000
2000-05-26,1381.52,1391.42,1369.75,1378.02,1378.02,722600000,10322.89,10387.66,10258.81,10299.24,10299.24,129200000
2000-05-30,1378.02,1422.45,1378.02,1422.45,1422.45,844200000,10302.31,10528.15,10302.31,10527.13,10527.13,165450000
2000-05-31,1422.44,1434.49,1415.5,1420.6,1420.6,960500000,10528.28,10599.43,10490.8,10522.33,10522.33,162880000
